Order,Family,Genus,Species,Binomial,ActivityCycle,AdultBodyMass,GestationLen,HomeRange,DietBreadth,LitterSize,LittersPerYear,MaxLongevity,HabitatBreadth,NeonateBodyMass,PopulationDensity,Terrestriality,TrophicLevel
Chiroptera,Craseonycteridae,Craseonycteris,thonglongyai,Craseonycteris thonglongyai,nocturnal,1.96,NA,NA,6,1,1,NA,1,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Kerivoula,minuta,Kerivoula minuta,NA,2.03,NA,NA,6,NA,NA,NA,1,NA,NA,above ground,NA
Soricomorpha,Soricidae,Suncus,etruscus,Suncus etruscus,NA,2.26,27.5,NA,1,4,3.4,32.4,1,0.2,NA,NA,NA
Soricomorpha,Soricidae,Sorex,minutissimus,Sorex minutissimus,NA,2.46,NA,NA,1,8.99,NA,NA,1,NA,NA,NA,carnivore
Soricomorpha,Soricidae,Suncus,madagascariensis,Suncus madagascariensis,NA,2.47,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
Soricomorpha,Soricidae,Crocidura,lusitania,Crocidura lusitania,NA,2.48,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Soricomorpha,Soricidae,Crocidura,planiceps,Crocidura planiceps,NA,2.5,NA,NA,2,3,NA,NA,1,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Pipistrellus,nanulus,Pipistrellus nanulus,NA,2.51,NA,NA,NA,1.96,NA,NA,1,NA,NA,above ground,NA
Soricomorpha,Soricidae,Sorex,nanus,Sorex nanus,NA,2.57,NA,NA,NA,6.49,NA,NA,1,NA,NA,NA,NA
Soricomorpha,Soricidae,Sorex,arizonae,Sorex arizonae,NA,2.7,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Hypsugo,bodenheimeri,Hypsugo bodenheimeri,NA,2.73,NA,NA,NA,NA,NA,NA,1,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Myotis,siligorensis,Myotis siligorensis,NA,2.93,NA,NA,3,0.98,NA,NA,1,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Kerivoula,phalaena,Kerivoula phalaena,NA,3.03,NA,NA,4,NA,NA,NA,2,NA,NA,above ground,NA
Chiroptera,Thyropteridae,Thyroptera,discifera,Thyroptera discifera,NA,3.13,NA,NA,4,NA,NA,NA,2,NA,NA,above ground,NA
Soricomorpha,Soricidae,Sorex,preblei,Sorex preblei,NA,3.14,NA,NA,3,NA,NA,NA,1,NA,NA,ground dwelling,NA
Chiroptera,Furipteridae,Furipterus,horrens,Furipterus horrens,NA,3.15,NA,NA,4,1,NA,NA,2,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Hypsugo,arabicus,Hypsugo arabicus,NA,3.17,NA,NA,2,NA,NA,NA,1,NA,NA,above ground,NA
Soricomorpha,Soricidae,Sylvisorex,johnstoni,Sylvisorex johnstoni,NA,3.19,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Kerivoula,whiteheadi,Kerivoula whiteheadi,NA,3.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Myotis,rosseti,Myotis rosseti,NA,3.29,NA,NA,5,NA,NA,NA,NA,NA,NA,above ground,NA
Soricomorpha,Soricidae,Sorex,longirostris,Sorex longirostris,both,3.29,NA,NA,6,3.99,2,NA,1,NA,61.11,ground dwelling,omnivore
Chiroptera,Emballonuridae,Mosia,nigrescens,Mosia nigrescens,nocturnal,3.33,NA,NA,1,0.98,NA,NA,1,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Pipistrellus,angulatus,Pipistrellus angulatus,NA,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soricomorpha,Soricidae,Sorex,gaspensis,Sorex gaspensis,NA,3.35,NA,NA,NA,5.33,NA,NA,NA,NA,NA,ground dwelling,carnivore
Soricomorpha,Soricidae,Sorex,hoyi,Sorex hoyi,both,3.37,NA,NA,2,5.84,1,NA,1,NA,52,ground dwelling,carnivore
Afrosoricida,Tenrecidae,Microgale,pusilla,Microgale pusilla,NA,3.4,NA,NA,2,NA,NA,NA,1,NA,NA,above ground,NA
Chiroptera,Emballonuridae,Saccopteryx,canescens,Saccopteryx canescens,nocturnal,3.41,NA,NA,3,1,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Pipistrellus,tenuis,Pipistrellus tenuis,NA,3.48,61.27,NA,6,1.92,3,NA,1,0.53,NA,above ground,carnivore
Soricomorpha,Soricidae,Crocidura,bottegi,Crocidura bottegi,NA,3.49,NA,NA,2,2.99,NA,NA,1,NA,NA,NA,NA
Soricomorpha,Soricidae,Sylvisorex,vulcanorum,Sylvisorex vulcanorum,NA,3.49,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA
Chiroptera,Hipposideridae,Hipposideros,pygmaeus,Hipposideros pygmaeus,NA,3.53,NA,NA,2,NA,NA,NA,1,NA,NA,above ground,carnivore
Afrosoricida,Tenrecidae,Microgale,parvula,Microgale parvula,NA,3.53,NA,NA,2,NA,NA,NA,1,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Neoromicia,somalicus,Neoromicia somalicus,NA,3.53,NA,NA,2,2,NA,NA,1,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Myotis,nesopolus,Myotis nesopolus,NA,3.56,NA,NA,6,NA,NA,NA,1,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Neoromicia,helios,Neoromicia helios,NA,3.56,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Pipistrellus,hesperus,Pipistrellus hesperus,NA,3.56,NA,NA,NA,1.86,1,72.99,1,NA,NA,above ground,NA
Chiroptera,Natalidae,Chilonatalus,tumidifrons,Chilonatalus tumidifrons,NA,3.62,NA,NA,NA,NA,NA,NA,1,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Rhogeessa,minutilla,Rhogeessa minutilla,NA,3.75,NA,NA,4,NA,NA,NA,1,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Vespadelus,vulturnus,Vespadelus vulturnus,NA,3.77,NA,NA,2,1,1,NA,1,NA,NA,above ground,carnivore
Soricomorpha,Soricidae,Sorex,tenellus,Sorex tenellus,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Hipposideridae,Hipposideros,cineraceus,Hipposideros cineraceus,NA,3.84,NA,NA,4,0.98,NA,NA,1,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Neoromicia,nanus,Neoromicia nanus,NA,3.88,75.56,NA,3,1.86,1.5,NA,1,NA,NA,above ground,carnivore
Chiroptera,Emballonuridae,Balantiopteryx,io,Balantiopteryx io,nocturnal,3.97,NA,NA,NA,1,NA,NA,NA,0.59,NA,above ground,NA
Chiroptera,Hipposideridae,Hipposideros,halophyllus,Hipposideros halophyllus,NA,4,NA,NA,3,NA,NA,NA,1,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Murina,suilla,Murina suilla,NA,4,NA,NA,NA,NA,NA,NA,1,NA,NA,above ground,NA
Soricomorpha,Soricidae,Suncus,remyi,Suncus remyi,NA,4.03,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Myotis,ridleyi,Myotis ridleyi,NA,4.06,NA,NA,5,NA,NA,NA,1,NA,NA,above ground,NA
Soricomorpha,Soricidae,Sorex,milleri,Sorex milleri,NA,4.07,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA
Chiroptera,Hipposideridae,Aselliscus,tricuspidatus,Aselliscus tricuspidatus,NA,4.08,NA,NA,4,0.99,NA,NA,1,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Tylonycteris,pachypus,Tylonycteris pachypus,NA,4.1,90.88,NA,4,1.92,1,NA,1,0.6,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Kerivoula,pellucida,Kerivoula pellucida,NA,4.14,NA,NA,NA,NA,NA,NA,1,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Neoromicia,zuluensis,Neoromicia zuluensis,NA,4.14,NA,NA,3,NA,NA,NA,1,NA,NA,NA,carnivore
Chiroptera,Emballonuridae,Rhynchonycteris,naso,Rhynchonycteris naso,nocturnal,4.14,NA,NA,6,0.99,2,NA,1,0.98,NA,above ground,carnivore
Chiroptera,Hipposideridae,Cloeotis,percivali,Cloeotis percivali,NA,4.16,91.24,NA,6,0.99,NA,NA,1,NA,NA,above ground,NA
Chiroptera,Emballonuridae,Peropteryx,trinitatis,Peropteryx trinitatis,NA,4.19,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
Soricomorpha,Soricidae,Sorex,cinereus,Sorex cinereus,both,4.2,18.11,0.004044228,3,6.49,NA,23,1,0.28,1111.97,NA,carnivore
Chiroptera,Vespertilionidae,Myotis,elegans,Myotis elegans,NA,4.21,NA,NA,4,0.98,NA,NA,2,NA,NA,above ground,NA
Chiroptera,Hipposideridae,Hipposideros,doriae,Hipposideros doriae,NA,4.24,NA,NA,6,NA,NA,NA,1,NA,NA,above ground,carnivore
Soricomorpha,Soricidae,Crocidura,douceti,Crocidura douceti,NA,4.3,NA,NA,6,NA,NA,NA,1,NA,NA,NA,NA
Chiroptera,Emballonuridae,Emballonura,beccarii,Emballonura beccarii,nocturnal,4.31,NA,NA,6,NA,NA,NA,1,NA,NA,above ground,NA
Soricomorpha,Soricidae,Sorex,minutus,Sorex minutus,both,4.32,23.81,0.001079653,6,6.04,1.5,24,1,0.22,849.99,ground dwelling,omnivore
Chiroptera,Vespertilionidae,Myotis,fortidens,Myotis fortidens,NA,4.37,NA,NA,NA,0.98,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Rhogeessa,parvula,Rhogeessa parvula,NA,4.37,NA,NA,NA,1.98,NA,NA,1,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Myotis,californicus,Myotis californicus,NA,4.39,NA,NA,3,0.99,1,180,2,NA,NA,above ground,carnivore
Soricomorpha,Soricidae,Sorex,gracillimus,Sorex gracillimus,NA,4.4,NA,0.000316461,NA,4.58,NA,NA,1,NA,NA,NA,carnivore
Soricomorpha,Soricidae,Suncus,infinitesimus,Suncus infinitesimus,both,4.4,NA,NA,3,NA,NA,NA,1,NA,NA,ground dwelling,carnivore
Chiroptera,Vespertilionidae,Murina,florium,Murina florium,NA,4.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Nyctophilus,walkeri,Nyctophilus walkeri,NA,4.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Kerivoula,picta,Kerivoula picta,NA,4.5,NA,NA,NA,1,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Scotoecus,albofuscus,Scotoecus albofuscus,NA,4.5,NA,NA,1,NA,NA,NA,1,NA,NA,above ground,NA
Chiroptera,Thyropteridae,Thyroptera,tricolor,Thyroptera tricolor,NA,4.52,154.24,NA,5,0.98,2,NA,2,1.09,NA,above ground,carnivore
Chiroptera,Emballonuridae,Emballonura,atrata,Emballonura atrata,both,4.55,NA,NA,5,NA,NA,NA,2,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Kerivoula,hardwickii,Kerivoula hardwickii,NA,4.55,NA,NA,6,1,NA,NA,2,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Myotis,riparius,Myotis riparius,NA,4.57,NA,NA,NA,0.98,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Pipistrellus,rusticus,Pipistrellus rusticus,NA,4.57,80.4,NA,NA,1.96,1,NA,1,NA,NA,above ground,carnivore
Chiroptera,Rhinolophidae,Rhinolophus,hipposideros,Rhinolophus hipposideros,NA,4.57,75.51,NA,NA,1,1,252,NA,2.1,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Rhogeessa,tumida,Rhogeessa tumida,NA,4.58,NA,NA,NA,1.4,NA,NA,1,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Glischropus,tylopus,Glischropus tylopus,NA,4.59,NA,NA,3,1,2,NA,2,1.25,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Pipistrellus,coromandra,Pipistrellus coromandra,NA,4.59,NA,NA,1,1.4,NA,NA,1,NA,NA,above ground,NA
Soricomorpha,Soricidae,Sorex,saussurei,Sorex saussurei,NA,4.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Phoniscus,jagorii,Phoniscus jagorii,NA,4.7,125.14,NA,NA,1,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Myotis,muricola,Myotis muricola,NA,4.8,NA,NA,2,1,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Phoniscus,atrox,Phoniscus atrox,NA,4.81,NA,NA,3,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Pipistrellus,javanicus,Pipistrellus javanicus,NA,4.92,71.48,NA,6,2.29,NA,NA,1,0.98,NA,above ground,NA
Soricomorpha,Soricidae,Cryptotis,parva,Cryptotis parva,both,4.97,21.99,0.001442322,NA,4.55,2.5,21,1,0.35,493.99,ground dwelling,omnivore
Soricomorpha,Soricidae,Crocidura,yankariensis,Crocidura yankariensis,NA,4.99,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
Rodentia,Nesomyidae,Delanymys,brooksi,Delanymys brooksi,NA,4.99,NA,NA,1,3.19,NA,24,1,NA,872.48,NA,NA
Chiroptera,Vespertilionidae,Myotis,ruber,Myotis ruber,NA,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Soricomorpha,Soricidae,Sorex,dispar,Sorex dispar,NA,4.99,NA,NA,NA,4.18,NA,NA,NA,NA,NA,ground dwelling,carnivore
Soricomorpha,Soricidae,Sorex,lyelli,Sorex lyelli,NA,4.99,NA,NA,7,NA,NA,NA,1,NA,NA,NA,NA
Rodentia,Nesomyidae,Steatomys,parvus,Steatomys parvus,NA,4.99,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA
Soricomorpha,Soricidae,Suncus,malayanus,Suncus malayanus,NA,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soricomorpha,Soricidae,Suncus,varilla,Suncus varilla,NA,4.99,NA,NA,5,3.49,NA,NA,1,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Vespadelus,douglasorum,Vespadelus douglasorum,NA,4.99,NA,NA,5,NA,NA,NA,1,NA,NA,above ground,NA
Chiroptera,Rhinolophidae,Rhinolophus,marshalli,Rhinolophus marshalli,NA,5.02,NA,NA,3,NA,NA,NA,1,NA,NA,above ground,carnivore
Soricomorpha,Soricidae,Sorex,trowbridgii,Sorex trowbridgii,both,5.02,NA,NA,3,3.91,2,18,1,NA,NA,ground dwelling,omnivore
Chiroptera,Vespertilionidae,Nycticeinops,schlieffeni,Nycticeinops schlieffeni,NA,5.05,78.63,NA,1,2.54,1,NA,1,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Vespadelus,regulus,Vespadelus regulus,NA,5.05,92.54,NA,3,1,1,NA,3,NA,NA,above ground,carnivore
Soricomorpha,Soricidae,Crocidura,ludia,Crocidura ludia,NA,5.15,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Myotis,yumanensis,Myotis yumanensis,NA,5.15,NA,NA,2,0.99,1,105.96,2,0.79,NA,above ground,NA
Chiroptera,Rhinolophidae,Rhinolophus,pusillus,Rhinolophus pusillus,NA,5.15,NA,NA,4,1,NA,NA,2,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Myotis,leibii,Myotis leibii,NA,5.22,NA,NA,NA,0.99,1,NA,NA,NA,NA,above ground,NA
Chiroptera,Emballonuridae,Emballonura,alecto,Emballonura alecto,nocturnal,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Kerivoula,muscina,Kerivoula muscina,NA,5.29,NA,NA,2,NA,NA,NA,2,NA,NA,above ground,NA
Chiroptera,Emballonuridae,Cyttarops,alecto,Cyttarops alecto,nocturnal,5.3,NA,NA,1,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Myotis,brandtii,Myotis brandtii,NA,5.3,NA,NA,4,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Pipistrellus,pipistrellus,Pipistrellus pipistrellus,NA,5.3,44,NA,3,1.37,1,200.4,NA,1.28,NA,above ground,carnivore
Soricomorpha,Soricidae,Sorex,ornatus,Sorex ornatus,diurnal,5.31,NA,NA,3,4.99,1,17,1,0.5,11100,NA,NA
Chiroptera,Emballonuridae,Emballonura,monticola,Emballonura monticola,nocturnal,5.35,NA,NA,3,1,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Neoromicia,tenuipinnis,Neoromicia tenuipinnis,NA,5.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Soricomorpha,Soricidae,Suncus,megalura,Suncus megalura,NA,5.38,NA,NA,2,1.89,NA,NA,1,NA,977,above ground,NA
Chiroptera,Vespertilionidae,Vespadelus,pumilus,Vespadelus pumilus,NA,5.4,NA,NA,2,1.21,1,NA,1,0.83,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Murina,tubinaris,Murina tubinaris,NA,5.45,NA,NA,3,1.37,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Myotis,keaysi,Myotis keaysi,NA,5.45,NA,NA,4,0.98,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Rhinolophidae,Rhinolophus,lepidus,Rhinolophus lepidus,NA,5.46,NA,NA,NA,1,NA,NA,NA,NA,NA,above ground,carnivore
Soricomorpha,Soricidae,Crocidura,horsfieldii,Crocidura horsfieldii,NA,5.47,NA,NA,3,3.14,NA,NA,2,NA,NA,NA,NA
Soricomorpha,Soricidae,Chodsigoa,salenskii,Chodsigoa salenskii,NA,5.49,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Glauconycteris,humeralis,Glauconycteris humeralis,NA,5.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Hipposideridae,Hipposideros,jonesi,Hipposideros jonesi,NA,5.49,NA,NA,3,NA,NA,NA,1,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Myotis,levis,Myotis levis,NA,5.49,NA,NA,4,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Hypsugo,pulveratus,Hypsugo pulveratus,NA,5.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Phyllostomidae,Ectophylla,alba,Ectophylla alba,NA,5.55,NA,NA,NA,0.99,2,NA,NA,NA,NA,above ground,herbivore
Chiroptera,Vespertilionidae,Myotis,goudoti,Myotis goudoti,NA,5.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Hipposideridae,Triaenops,furculus,Triaenops furculus,both,5.56,NA,NA,7,NA,NA,NA,1,NA,NA,above ground,carnivore
Soricomorpha,Soricidae,Crocidura,whitakeri,Crocidura whitakeri,NA,5.58,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA
Soricomorpha,Soricidae,Crocidura,fuscomurina,Crocidura fuscomurina,both,5.6,NA,NA,2,3,NA,NA,1,0.59,135.52,ground dwelling,omnivore
Chiroptera,Emballonuridae,Emballonura,raffrayana,Emballonura raffrayana,nocturnal,5.61,NA,NA,NA,NA,NA,NA,1,NA,NA,above ground,NA
Soricomorpha,Soricidae,Crocidura,dolichura,Crocidura dolichura,NA,5.63,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
Chiroptera,Mormoopidae,Pteronotus,quadridens,Pteronotus quadridens,NA,5.64,156.43,NA,NA,1.21,1,NA,1,2.14,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Myotis,oxyotus,Myotis oxyotus,NA,5.65,NA,NA,NA,0.98,NA,NA,1,NA,NA,above ground,NA
Chiroptera,Natalidae,Natalus,stramineus,Natalus stramineus,NA,5.68,244.85,NA,1,0.99,1,57.96,1,1.83,NA,above ground,carnivore
Chiroptera,Emballonuridae,Peropteryx,macrotis,Peropteryx macrotis,nocturnal,5.68,129.27,NA,1,0.99,NA,NA,1,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Myotis,albescens,Myotis albescens,NA,5.69,93.18,NA,NA,0.98,2.5,NA,1,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Pipistrellus,subflavus,Pipistrellus subflavus,NA,5.74,45.71,NA,NA,1.96,1,180,NA,1.26,NA,above ground,carnivore
Chiroptera,Hipposideridae,Hipposideros,ater,Hipposideros ater,NA,5.86,195,NA,NA,0.99,NA,NA,1,1.25,NA,above ground,carnivore
Chiroptera,Molossidae,Molossops,temminckii,Molossops temminckii,NA,5.86,NA,NA,NA,0.98,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Pipistrellus,abramus,Pipistrellus abramus,NA,5.87,NA,NA,2,2.1,NA,NA,NA,1.1,NA,NA,NA
Chiroptera,Vespertilionidae,Neoromicia,capensis,Neoromicia capensis,NA,5.96,NA,NA,NA,1.96,NA,NA,NA,2,NA,above ground,carnivore
Soricomorpha,Soricidae,Crocidura,maquassiensis,Crocidura maquassiensis,NA,5.99,NA,NA,3,NA,NA,NA,1,NA,NA,NA,carnivore
Chiroptera,Vespertilionidae,Eptesicus,diminutus,Eptesicus diminutus,NA,5.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Soricomorpha,Soricidae,Sorex,vagrans,Sorex vagrans,both,5.99,20.13,0.002073312,1,5.84,1.5,25,2,0.41,1759.54,NA,omnivore
Soricomorpha,Soricidae,Sorex,merriami,Sorex merriami,NA,5.99,NA,NA,NA,5.99,NA,NA,NA,NA,NA,ground dwelling,carnivore
Chiroptera,Vespertilionidae,Kerivoula,flora,Kerivoula flora,NA,6.01,NA,NA,1,1,NA,NA,2,NA,NA,above ground,NA
Soricomorpha,Soricidae,Sorex,jacksoni,Sorex jacksoni,NA,6.01,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA
Chiroptera,Vespertilionidae,Myotis,horsfieldii,Myotis horsfieldii,NA,6.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Rhinolophidae,Rhinolophus,virgo,Rhinolophus virgo,NA,6.06,NA,NA,1,NA,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Vespadelus,darlingtoni,Vespadelus darlingtoni,NA,6.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Pipistrellus,kuhlii,Pipistrellus kuhlii,nocturnal,6.07,NA,NA,NA,1.21,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Hypsugo,crassulus,Hypsugo crassulus,NA,6.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Hipposideridae,Aselliscus,stoliczkanus,Aselliscus stoliczkanus,NA,6.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Laephotis,wintoni,Laephotis wintoni,NA,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Hypsugo,eisentrauti,Hypsugo eisentrauti,NA,6.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Rodentia,Muridae,Mus,indutus,Mus indutus,NA,6.15,NA,NA,NA,4.76,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Rhinolophidae,Rhinolophus,macrotis,Rhinolophus macrotis,NA,6.18,NA,NA,NA,0.98,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Hipposideridae,Hipposideros,pomona,Hipposideros pomona,NA,6.2,NA,NA,4,NA,NA,NA,1,NA,NA,above ground,carnivore
Chiroptera,Rhinolophidae,Rhinolophus,keyensis,Rhinolophus keyensis,NA,6.26,NA,NA,NA,1,NA,NA,NA,NA,NA,above ground,NA
Dasyuromorphia,Dasyuridae,Planigale,ingrami,Planigale ingrami,both,6.27,NA,NA,NA,7.48,2,15.6,NA,NA,NA,ground dwelling,carnivore
Dasyuromorphia,Dasyuridae,Planigale,tenuirostris,Planigale tenuirostris,both,6.27,19,NA,NA,5.99,2,36,NA,NA,NA,ground dwelling,NA
Chiroptera,Emballonuridae,Emballonura,semicaudata,Emballonura semicaudata,nocturnal,6.29,NA,NA,1,NA,NA,NA,NA,NA,NA,above ground,NA
Chiroptera,Vespertilionidae,Hypsugo,imbricatus,Hypsugo imbricatus,NA,6.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Vespertilionidae,Hypsugo,savii,Hypsugo savii,NA,6.3,NA,NA,NA,2,1,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Natalidae,Natalus,tumidirostris,Natalus tumidirostris,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Rhinolophidae,Rhinolophus,denti,Rhinolophus denti,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Soricomorpha,Soricidae,Sorex,caecutiens,Sorex caecutiens,NA,6.3,NA,0.000203282,3,7.24,3,24,1,NA,1643.9,ground dwelling,omnivore
Chiroptera,Vespertilionidae,Phoniscus,papuensis,Phoniscus papuensis,NA,6.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Dasyuromorphia,Dasyuridae,Ningaui,timealeyi,Ningaui timealeyi,both,6.37,NA,NA,NA,5.7,2,24,NA,NA,NA,ground dwelling,NA
Soricomorpha,Soricidae,Sorex,granarius,Sorex granarius,NA,6.39,NA,NA,NA,4.89,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Phyllostomidae,Micronycteris,megalotis,Micronycteris megalotis,NA,6.4,121.66,NA,1,0.98,NA,NA,NA,NA,NA,above ground,omnivore
Chiroptera,Vespertilionidae,Neoromicia,rendalli,Neoromicia rendalli,NA,6.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,NA
Rodentia,Muridae,Mus,minutoides,Mus minutoides,nocturnal,6.43,20.71,NA,4,4.18,4,37.2,1,1.01,92.09,ground dwelling,omnivore
Soricomorpha,Soricidae,Crocidura,elgonius,Crocidura elgonius,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soricomorpha,Soricidae,Crocidura,pasha,Crocidura pasha,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Soricomorpha,Soricidae,Crocidura,nanilla,Crocidura nanilla,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Hipposideridae,Coelops,robinsoni,Coelops robinsoni,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,above ground,carnivore
Chiroptera,Phyllostomidae,Lichonycteris,obscura,Lichonycteris obscura,NA,6.5,NA,NA,NA,0.98,NA,NA,NA,NA,NA,above ground,omnivore
Chiroptera,Vespertilionidae,Myotis,keenii,Myotis keenii,NA,6.51,NA,NA,2,0.99,1,222,1,NA,NA,above ground,NA
Chiroptera,Emballonuridae,Balantiopteryx,plicata,Balantiopteryx plicata,nocturnal,6.57,138.81,NA,1,0.99,1,NA,NA,2,NA,above ground,carnivore
